name,value,year,LastValue,rank
CSKA Moscow,1,1.5,0,3
Anadolu Efes,1,1.5,0,4
Real Madrid,1,1.5,0,5
AX Armani Exchange Olimpia Milan,1,1.5,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1.5,0,7
Panathinaikkos OPAP Athens,1,1.5,0,8
Maccabi FOX Tel Aviv,0,1.5,0,9
Zalgris Kaunas,0,1.5,0,10
Buducnost VOLI Podgorica,0,1.5,0,11
Darussafaka Tekfen,0,1.5,0,12
FC Bayern Munich,0,1.5,0,13
FC Barcelona Lassa,0,1.5,0,14
Khimki Moscow Region,0,1.5,0,15
Herbalife Gran Canaria,0,1.5,0,16
Fenerbahçe Beko,2,2.5,1,1
Olympiacos Piraeus,2,2.5,1,2
CSKA Moscow,2,2.5,1,3
Anadolu Efes,1,2.5,1,6
Real Madrid,2,2.5,1,4
AX Armani Exchange Olimpia Milan,1,2.5,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.5,1,9
Panathinaikkos OPAP Athens,1,2.5,1,8
Maccabi FOX Tel Aviv,1,2.5,0,13
Zalgris Kaunas,1,2.5,0,5
Buducnost VOLI Podgorica,0,2.5,0,14
Darussafaka Tekfen,1,2.5,0,10
FC Bayern Munich,1,2.5,0,11
FC Barcelona Lassa,0,2.5,0,15
Khimki Moscow Region,0,2.5,0,16
Herbalife Gran Canaria,1,2.5,0,12
Fenerbahçe Beko,3,3.5,2,2
Olympiacos Piraeus,2,3.5,2,7
CSKA Moscow,3,3.5,2,3
Anadolu Efes,2,3.5,1,6
Real Madrid,3,3.5,2,1
AX Armani Exchange Olimpia Milan,2,3.5,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.5,1,12
Panathinaikkos OPAP Athens,2,3.5,1,5
Maccabi FOX Tel Aviv,1,3.5,1,8
Zalgris Kaunas,1,3.5,1,9
Buducnost VOLI Podgorica,0,3.5,0,15
Darussafaka Tekfen,1,3.5,1,11
FC Bayern Munich,1,3.5,1,13
FC Barcelona Lassa,1,3.5,0,10
Khimki Moscow Region,0,3.5,0,16
Herbalife Gran Canaria,1,3.5,1,14
Fenerbahçe Beko,3,4.5,3,3
Olympiacos Piraeus,3,4.5,2,6
CSKA Moscow,4,4.5,3,2
Anadolu Efes,3,4.5,2,5
Real Madrid,4,4.5,3,1
AX Armani Exchange Olimpia Milan,3,4.5,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.5,1,13
Panathinaikkos OPAP Athens,2,4.5,2,7
Maccabi FOX Tel Aviv,1,4.5,1,11
Zalgris Kaunas,2,4.5,1,8
Buducnost VOLI Podgorica,0,4.5,0,16
Darussafaka Tekfen,1,4.5,1,12
FC Bayern Munich,2,4.5,1,10
FC Barcelona Lassa,2,4.5,1,9
Khimki Moscow Region,0,4.5,0,15
Herbalife Gran Canaria,1,4.5,1,14
Fenerbahçe Beko,4,5.5,3,3
Olympiacos Piraeus,3,5.5,3,8
CSKA Moscow,5,5.5,4,2
Anadolu Efes,3,5.5,3,7
Real Madrid,5,5.5,4,1
AX Armani Exchange Olimpia Milan,4,5.5,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.5,1,9
Panathinaikkos OPAP Athens,3,5.5,2,5
Maccabi FOX Tel Aviv,1,5.5,1,13
Zalgris Kaunas,2,5.5,2,10
Buducnost VOLI Podgorica,0,5.5,0,16
Darussafaka Tekfen,1,5.5,1,14
FC Bayern Munich,2,5.5,2,11
FC Barcelona Lassa,3,5.5,2,6
Khimki Moscow Region,1,5.5,0,12
Herbalife Gran Canaria,1,5.5,1,15
Fenerbahçe Beko,1,1.6,0,1
Olympiacos Piraeus,1,1.6,0,2
CSKA Moscow,1,1.6,0,3
Anadolu Efes,1,1.6,0,4
Real Madrid,1,1.6,0,5
AX Armani Exchange Olimpia Milan,1,1.6,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1.6,0,7
Panathinaikkos OPAP Athens,1,1.6,0,8
Maccabi FOX Tel Aviv,0,1.6,0,9
Zalgris Kaunas,0,1.6,0,10
Buducnost VOLI Podgorica,0,1.6,0,11
Darussafaka Tekfen,0,1.6,0,12
FC Bayern Munich,0,1.6,0,13
FC Barcelona Lassa,0,1.6,0,14
Khimki Moscow Region,0,1.6,0,15
Herbalife Gran Canaria,0,1.6,0,16
Fenerbahçe Beko,2,2.6,1,1
Olympiacos Piraeus,2,2.6,1,2
CSKA Moscow,2,2.6,1,3
Anadolu Efes,1,2.6,1,6
Real Madrid,2,2.6,1,4
AX Armani Exchange Olimpia Milan,1,2.6,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.6,1,9
Panathinaikkos OPAP Athens,1,2.6,1,8
Maccabi FOX Tel Aviv,1,2.6,0,13
Zalgris Kaunas,1,2.6,0,5
Buducnost VOLI Podgorica,0,2.6,0,14
Darussafaka Tekfen,1,2.6,0,10
FC Bayern Munich,1,2.6,0,11
FC Barcelona Lassa,0,2.6,0,15
Khimki Moscow Region,0,2.6,0,16
Herbalife Gran Canaria,1,2.6,0,12
Fenerbahçe Beko,3,3.6,2,2
Olympiacos Piraeus,2,3.6,2,7
CSKA Moscow,3,3.6,2,3
Anadolu Efes,2,3.6,1,6
Real Madrid,3,3.6,2,1
AX Armani Exchange Olimpia Milan,2,3.6,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.6,1,12
Panathinaikkos OPAP Athens,2,3.6,1,5
Maccabi FOX Tel Aviv,1,3.6,1,8
Zalgris Kaunas,1,3.6,1,9
Buducnost VOLI Podgorica,0,3.6,0,15
Darussafaka Tekfen,1,3.6,1,11
FC Bayern Munich,1,3.6,1,13
FC Barcelona Lassa,1,3.6,0,10
Khimki Moscow Region,0,3.6,0,16
Herbalife Gran Canaria,1,3.6,1,14
Fenerbahçe Beko,3,4.6,3,3
Olympiacos Piraeus,3,4.6,2,6
CSKA Moscow,4,4.6,3,2
Anadolu Efes,3,4.6,2,5
Real Madrid,4,4.6,3,1
AX Armani Exchange Olimpia Milan,3,4.6,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.6,1,13
Panathinaikkos OPAP Athens,2,4.6,2,7
Maccabi FOX Tel Aviv,1,4.6,1,11
Zalgris Kaunas,2,4.6,1,8
Buducnost VOLI Podgorica,0,4.6,0,16
Darussafaka Tekfen,1,4.6,1,12
FC Bayern Munich,2,4.6,1,10
FC Barcelona Lassa,2,4.6,1,9
Khimki Moscow Region,0,4.6,0,15
Herbalife Gran Canaria,1,4.6,1,14
Fenerbahçe Beko,4,5.6,3,3
Olympiacos Piraeus,3,5.6,3,8
CSKA Moscow,5,5.6,4,2
Anadolu Efes,3,5.6,3,7
Real Madrid,5,5.6,4,1
AX Armani Exchange Olimpia Milan,4,5.6,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.6,1,9
Panathinaikkos OPAP Athens,3,5.6,2,5
Maccabi FOX Tel Aviv,1,5.6,1,13
Zalgris Kaunas,2,5.6,2,10
Buducnost VOLI Podgorica,0,5.6,0,16
Darussafaka Tekfen,1,5.6,1,14
FC Bayern Munich,2,5.6,2,11
FC Barcelona Lassa,3,5.6,2,6
Khimki Moscow Region,1,5.6,0,12
Herbalife Gran Canaria,1,5.6,1,15
Fenerbahçe Beko,1,1.7,0,1
Olympiacos Piraeus,1,1.7,0,2
CSKA Moscow,1,1.7,0,3
Anadolu Efes,1,1.7,0,4
Real Madrid,1,1.7,0,5
AX Armani Exchange Olimpia Milan,1,1.7,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1.7,0,7
Panathinaikkos OPAP Athens,1,1.7,0,8
Maccabi FOX Tel Aviv,0,1.7,0,9
Zalgris Kaunas,0,1.7,0,10
Buducnost VOLI Podgorica,0,1.7,0,11
Darussafaka Tekfen,0,1.7,0,12
FC Bayern Munich,0,1.7,0,13
FC Barcelona Lassa,0,1.7,0,14
Khimki Moscow Region,0,1.7,0,15
Herbalife Gran Canaria,0,1.7,0,16
Fenerbahçe Beko,2,2.7,1,1
Olympiacos Piraeus,2,2.7,1,2
CSKA Moscow,2,2.7,1,3
Anadolu Efes,1,2.7,1,6
Real Madrid,2,2.7,1,4
AX Armani Exchange Olimpia Milan,1,2.7,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.7,1,9
Panathinaikkos OPAP Athens,1,2.7,1,8
Maccabi FOX Tel Aviv,1,2.7,0,13
Zalgris Kaunas,1,2.7,0,5
Buducnost VOLI Podgorica,0,2.7,0,14
Darussafaka Tekfen,1,2.7,0,10
FC Bayern Munich,1,2.7,0,11
FC Barcelona Lassa,0,2.7,0,15
Khimki Moscow Region,0,2.7,0,16
Herbalife Gran Canaria,1,2.7,0,12
Fenerbahçe Beko,3,3.7,2,2
Olympiacos Piraeus,2,3.7,2,7
CSKA Moscow,3,3.7,2,3
Anadolu Efes,2,3.7,1,6
Real Madrid,3,3.7,2,1
AX Armani Exchange Olimpia Milan,2,3.7,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.7,1,12
Panathinaikkos OPAP Athens,2,3.7,1,5
Maccabi FOX Tel Aviv,1,3.7,1,8
Zalgris Kaunas,1,3.7,1,9
Buducnost VOLI Podgorica,0,3.7,0,15
Darussafaka Tekfen,1,3.7,1,11
FC Bayern Munich,1,3.7,1,13
FC Barcelona Lassa,1,3.7,0,10
Khimki Moscow Region,0,3.7,0,16
Herbalife Gran Canaria,1,3.7,1,14
Fenerbahçe Beko,3,4.7,3,3
Olympiacos Piraeus,3,4.7,2,6
CSKA Moscow,4,4.7,3,2
Anadolu Efes,3,4.7,2,5
Real Madrid,4,4.7,3,1
AX Armani Exchange Olimpia Milan,3,4.7,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.7,1,13
Panathinaikkos OPAP Athens,2,4.7,2,7
Maccabi FOX Tel Aviv,1,4.7,1,11
Zalgris Kaunas,2,4.7,1,8
Buducnost VOLI Podgorica,0,4.7,0,16
Darussafaka Tekfen,1,4.7,1,12
FC Bayern Munich,2,4.7,1,10
FC Barcelona Lassa,2,4.7,1,9
Khimki Moscow Region,0,4.7,0,15
Herbalife Gran Canaria,1,4.7,1,14
Fenerbahçe Beko,4,5.7,3,3
Olympiacos Piraeus,3,5.7,3,8
CSKA Moscow,5,5.7,4,2
Anadolu Efes,3,5.7,3,7
Real Madrid,5,5.7,4,1
AX Armani Exchange Olimpia Milan,4,5.7,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.7,1,9
Panathinaikkos OPAP Athens,3,5.7,2,5
Maccabi FOX Tel Aviv,1,5.7,1,13
Zalgris Kaunas,2,5.7,2,10
Buducnost VOLI Podgorica,0,5.7,0,16
Darussafaka Tekfen,1,5.7,1,14
FC Bayern Munich,2,5.7,2,11
FC Barcelona Lassa,3,5.7,2,6
Khimki Moscow Region,1,5.7,0,12
Herbalife Gran Canaria,1,5.7,1,15
Fenerbahçe Beko,1,1.8,0,1
Olympiacos Piraeus,1,1.8,0,2
CSKA Moscow,1,1.8,0,3
Anadolu Efes,1,1.8,0,4
Real Madrid,1,1.8,0,5
AX Armani Exchange Olimpia Milan,1,1.8,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1.8,0,7
Panathinaikkos OPAP Athens,1,1.8,0,8
Maccabi FOX Tel Aviv,0,1.8,0,9
Zalgris Kaunas,0,1.8,0,10
Buducnost VOLI Podgorica,0,1.8,0,11
Darussafaka Tekfen,0,1.8,0,12
FC Bayern Munich,0,1.8,0,13
FC Barcelona Lassa,0,1.8,0,14
Khimki Moscow Region,0,1.8,0,15
Herbalife Gran Canaria,0,1.8,0,16
Fenerbahçe Beko,2,2.8,1,1
Olympiacos Piraeus,2,2.8,1,2
CSKA Moscow,2,2.8,1,3
Anadolu Efes,1,2.8,1,6
Real Madrid,2,2.8,1,4
AX Armani Exchange Olimpia Milan,1,2.8,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.8,1,9
Panathinaikkos OPAP Athens,1,2.8,1,8
Maccabi FOX Tel Aviv,1,2.8,0,13
Zalgris Kaunas,1,2.8,0,5
Buducnost VOLI Podgorica,0,2.8,0,14
Darussafaka Tekfen,1,2.8,0,10
FC Bayern Munich,1,2.8,0,11
FC Barcelona Lassa,0,2.8,0,15
Khimki Moscow Region,0,2.8,0,16
Herbalife Gran Canaria,1,2.8,0,12
Fenerbahçe Beko,3,3.8,2,2
Olympiacos Piraeus,2,3.8,2,7
CSKA Moscow,3,3.8,2,3
Anadolu Efes,2,3.8,1,6
Real Madrid,3,3.8,2,1
AX Armani Exchange Olimpia Milan,2,3.8,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.8,1,12
Panathinaikkos OPAP Athens,2,3.8,1,5
Maccabi FOX Tel Aviv,1,3.8,1,8
Zalgris Kaunas,1,3.8,1,9
Buducnost VOLI Podgorica,0,3.8,0,15
Darussafaka Tekfen,1,3.8,1,11
FC Bayern Munich,1,3.8,1,13
FC Barcelona Lassa,1,3.8,0,10
Khimki Moscow Region,0,3.8,0,16
Herbalife Gran Canaria,1,3.8,1,14
Fenerbahçe Beko,3,4.8,3,3
Olympiacos Piraeus,3,4.8,2,6
CSKA Moscow,4,4.8,3,2
Anadolu Efes,3,4.8,2,5
Real Madrid,4,4.8,3,1
AX Armani Exchange Olimpia Milan,3,4.8,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.8,1,13
Panathinaikkos OPAP Athens,2,4.8,2,7
Maccabi FOX Tel Aviv,1,4.8,1,11
Zalgris Kaunas,2,4.8,1,8
Buducnost VOLI Podgorica,0,4.8,0,16
Darussafaka Tekfen,1,4.8,1,12
FC Bayern Munich,2,4.8,1,10
FC Barcelona Lassa,2,4.8,1,9
Khimki Moscow Region,0,4.8,0,15
Herbalife Gran Canaria,1,4.8,1,14
Fenerbahçe Beko,4,5.8,3,3
Olympiacos Piraeus,3,5.8,3,8
CSKA Moscow,5,5.8,4,2
Anadolu Efes,3,5.8,3,7
Real Madrid,5,5.8,4,1
AX Armani Exchange Olimpia Milan,4,5.8,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.8,1,9
Panathinaikkos OPAP Athens,3,5.8,2,5
Maccabi FOX Tel Aviv,1,5.8,1,13
Zalgris Kaunas,2,5.8,2,10
Buducnost VOLI Podgorica,0,5.8,0,16
Darussafaka Tekfen,1,5.8,1,14
FC Bayern Munich,2,5.8,2,11
FC Barcelona Lassa,3,5.8,2,6
Khimki Moscow Region,1,5.8,0,12
Herbalife Gran Canaria,1,5.8,1,15
Fenerbahçe Beko,1,1.9,0,1
Olympiacos Piraeus,1,1.9,0,2
CSKA Moscow,1,1.9,0,3
Anadolu Efes,1,1.9,0,4
Real Madrid,1,1.9,0,5
AX Armani Exchange Olimpia Milan,1,1.9,0,6
KIROLBET Baskonia Vitoria-Gasteiz,1,1.9,0,7
Panathinaikkos OPAP Athens,1,1.9,0,8
Maccabi FOX Tel Aviv,0,1.9,0,9
Zalgris Kaunas,0,1.9,0,10
Buducnost VOLI Podgorica,0,1.9,0,11
Darussafaka Tekfen,0,1.9,0,12
FC Bayern Munich,0,1.9,0,13
FC Barcelona Lassa,0,1.9,0,14
Khimki Moscow Region,0,1.9,0,15
Herbalife Gran Canaria,0,1.9,0,16
Fenerbahçe Beko,2,2.9,1,1
Olympiacos Piraeus,2,2.9,1,2
CSKA Moscow,2,2.9,1,3
Anadolu Efes,1,2.9,1,6
Real Madrid,2,2.9,1,4
AX Armani Exchange Olimpia Milan,1,2.9,1,7
KIROLBET Baskonia Vitoria-Gasteiz,1,2.9,1,9
Panathinaikkos OPAP Athens,1,2.9,1,8
Maccabi FOX Tel Aviv,1,2.9,0,13
Zalgris Kaunas,1,2.9,0,5
Buducnost VOLI Podgorica,0,2.9,0,14
Darussafaka Tekfen,1,2.9,0,10
FC Bayern Munich,1,2.9,0,11
FC Barcelona Lassa,0,2.9,0,15
Khimki Moscow Region,0,2.9,0,16
Herbalife Gran Canaria,1,2.9,0,12
Fenerbahçe Beko,3,3.9,2,2
Olympiacos Piraeus,2,3.9,2,7
CSKA Moscow,3,3.9,2,3
Anadolu Efes,2,3.9,1,6
Real Madrid,3,3.9,2,1
AX Armani Exchange Olimpia Milan,2,3.9,1,4
KIROLBET Baskonia Vitoria-Gasteiz,1,3.9,1,12
Panathinaikkos OPAP Athens,2,3.9,1,5
Maccabi FOX Tel Aviv,1,3.9,1,8
Zalgris Kaunas,1,3.9,1,9
Buducnost VOLI Podgorica,0,3.9,0,15
Darussafaka Tekfen,1,3.9,1,11
FC Bayern Munich,1,3.9,1,13
FC Barcelona Lassa,1,3.9,0,10
Khimki Moscow Region,0,3.9,0,16
Herbalife Gran Canaria,1,3.9,1,14
Fenerbahçe Beko,3,4.9,3,3
Olympiacos Piraeus,3,4.9,2,6
CSKA Moscow,4,4.9,3,2
Anadolu Efes,3,4.9,2,5
Real Madrid,4,4.9,3,1
AX Armani Exchange Olimpia Milan,3,4.9,2,4
KIROLBET Baskonia Vitoria-Gasteiz,1,4.9,1,13
Panathinaikkos OPAP Athens,2,4.9,2,7
Maccabi FOX Tel Aviv,1,4.9,1,11
Zalgris Kaunas,2,4.9,1,8
Buducnost VOLI Podgorica,0,4.9,0,16
Darussafaka Tekfen,1,4.9,1,12
FC Bayern Munich,2,4.9,1,10
FC Barcelona Lassa,2,4.9,1,9
Khimki Moscow Region,0,4.9,0,15
Herbalife Gran Canaria,1,4.9,1,14
Fenerbahçe Beko,4,5.9,3,3
Olympiacos Piraeus,3,5.9,3,8
CSKA Moscow,5,5.9,4,2
Anadolu Efes,3,5.9,3,7
Real Madrid,5,5.9,4,1
AX Armani Exchange Olimpia Milan,4,5.9,3,4
KIROLBET Baskonia Vitoria-Gasteiz,2,5.9,1,9
Panathinaikkos OPAP Athens,3,5.9,2,5
Maccabi FOX Tel Aviv,1,5.9,1,13
Zalgris Kaunas,2,5.9,2,10
Buducnost VOLI Podgorica,0,5.9,0,16
Darussafaka Tekfen,1,5.9,1,14
FC Bayern Munich,2,5.9,2,11
FC Barcelona Lassa,3,5.9,2,6
Khimki Moscow Region,1,5.9,0,12
Herbalife Gran Canaria,1,5.9,1,15
